,PH,Salinity_mean,Depth,max_yr
67,8.215000153,35.1000845,16.0,2017
68,8.21449995,35.144927,10.0,2017
70,8.215000153,35.101086,11.0,2017
71,8.215000153,35.101086,11.0,2017
72,8.215000153,35.101086,9.0,2017
73,8.215000153,35.101086,9.0,2017
84,8.211000443,35.278084,12.5,2017
85,8.211000443,35.278084,6.0,2017
164,8.222000122,35.337914,9.875,2017
167,8.222000122,35.337914,12.075,2017
169,8.222000122,35.337914,10.3,2017
172,8.222000122,35.337914,11.0,2017
174,8.222499847,35.2874185,7.266666667,2017
176,8.222499847,35.2874185,13.225,2017
179,8.222499847,35.2874185,10.55,2017
182,8.222000122,35.331669,12.03333333,2017
185,8.222999573,35.37446,10.9,2017
188,8.222999573,35.37446,14.725,2017
191,8.222999573,35.247482,9.725,2017
194,8.222999573,35.341358,11.075,2017
197,8.222999573,35.390354,10.6,2017
346,8.216499805,35.1142445,7.0,2017
347,8.216499805,35.112398,3.0,2017
348,8.216499805,35.112398,4.0,2017
349,8.215999603,35.117374,5.5,2017
350,8.215999603,35.117374,2.0,2017
351,8.215999603,35.117374,15.0,2017
352,8.215999603,35.117374,5.0,2017
353,8.216499805,35.14946175,11.0,2017
354,8.215999603,35.270199,9.0,2017
395,8.239999771,35.276642,9.416666667,2017
559,8.211999893,35.204185,1.5,2017
566,8.239999771,35.301208,17.0,2017
569,8.239999771,35.301208,13.83333333,2017
574,8.239999771,35.301208,13.47,2017
